"LabourDay;""1"";""2015-05-01 00:00:00"";""2"""
"off;""1"";""2015-05-31 00:00:00"";""1"""
"Childrenday;""1"";""2015-06-01 00:00:00"";""2"""
"off;""1"";""2015-06-07 00:00:00"";""1"""
"off;""1"";""2015-06-13 00:00:00"";""1"""
"off;""1"";""2015-06-14 00:00:00"";""1"""
"QueenBirthDay;""1"";""2015-06-18 00:00:00"";""2"""
"off;""1"";""2015-06-20 00:00:00"";""1"""
"off;""1"";""2015-06-21 00:00:00"";""1"""
"of;""1"";""2015-06-27 00:00:00"";""1"""
"off;""1"";""2015-06-28 00:00:00"";""1"""
"off;""1"";""2015-07-04 00:00:00"";""1"""
"off;""1"";""2015-07-05 00:00:00"";""1"""
"off;""1"";""2015-07-11 00:00:00"";""1"""
"off;""1"";""2015-07-12 00:00:00"";""1"""
"off;""1"";""2015-07-18 00:00:00"";""1"""
"off;""1"";""2015-07-19 00:00:00"";""1"""
"off;""1"";""2015-07-25 00:00:00"";""1"""
"off;""1"";""2015-07-26 00:00:00"";""1"""
"off;""1"";""2015-08-01 00:00:00"";""1"""
"off;""1"";""2015-08-02 00:00:00"";""1"""
"off;""1"";""2015-08-08 00:00:00"";""1"""
"off;""1"";""2015-08-09 00:00:00"";""1"""
"off;""1"";""2015-08-15 00:00:00"";""1"""
"off;""1"";""2015-08-16 00:00:00"";""1"""
"off;""1"";""2015-08-22 00:00:00"";""1"""
"off;""1"";""2015-08-23 00:00:00"";""1"""
"off;""1"";""2015-08-29 00:00:00"";""1"""
"off;""1"";""2015-08-30 00:00:00"";""1"""
"off;""1"";""2015-09-05 00:00:00"";""1"""
"off;""1"";""2015-09-06 00:00:00"";""1"""
"off;""1"";""2015-09-12 00:00:00"";""1"""
"off;""1"";""2015-09-13 00:00:00"";""1"""
"off;""1"";""2015-09-19 00:00:00"";""1"""
"off;""1"";""2015-09-20 00:00:00"";""1"""
"ConstitutionDay;""1"";""2015-09-24 00:00:00"";""2"""
"off;""1"";""2015-09-26 00:00:00"";""1"""
"off;""1"";""2015-09-27 00:00:00"";""1"""
"off;""1"";""2015-10-04 00:00:00"";""1"""
"BonnPchumBen;""1"";""2015-10-11 00:00:00"";""2"""
"BonnPchumBen;""1"";""2015-10-12 00:00:00"";""2"""
"BonnPchumBen;""1"";""2015-10-13 00:00:00"";""2"""
"3FromDay3rd;""1"";""2015-10-14 00:00:00"";""3"""
"3FromDay10th;""1"";""2015-10-16 00:00:00"";""3"""
"off;""1"";""2015-10-17 00:00:00"";""1"""
"off;""1"";""2015-10-18 00:00:00"";""1"""
"off;""1"";""2015-10-24 00:00:00"";""1"""
"off;""1"";""2015-10-25 00:00:00"";""1"""
"off;""1"";""2015-11-01 00:00:00"";""1"""
"off;""1"";""2015-11-08 00:00:00"";""1"""
"IndependenceDay;""1"";""2015-11-09 00:00:00"";""2"""
"off;""1"";""2015-11-15 00:00:00"";""1"""
"off;""1"";""2015-11-22 00:00:00"";""1"""
"WaterFestival;""1"";""2015-11-24 00:00:00"";""2"""
"WaterFestival;""1"";""2015-11-25 00:00:00"";""2"""
"WaterFestival;""1"";""2015-11-26 00:00:00"";""2"""
"off;""1"";""2015-11-29 00:00:00"";""1"""
"off;""1"";""2015-12-06 00:00:00"";""1"""
"InternationalHumanDay;""1"";""2015-12-10 00:00:00"";""2"""
"off;""1"";""2015-12-13 00:00:00"";""1"""
"off;""1"";""2015-12-20 00:00:00"";""1"""
"off;""1"";""2015-12-26 00:00:00"";""1"""
"off;""1"";""2015-12-27 00:00:00"";""1"""
"FinishYearHoliday;""1"";""2015-12-28 00:00:00"";""2"""
"FinishYearHoliday;""1"";""2015-12-29 00:00:00"";""2"""
"FinishYearHoliday;""1"";""2015-12-30 00:00:00"";""2"""
"FinishYearHoliday;""1"";""2015-12-31 00:00:00"";""2"""
"off;""1"";""2015-05-02 00:00:00"";""1"""
"off;""1"";""2015-05-03 00:00:00"";""1"""
"off;""1"";""2015-05-10 00:00:00"";""1"""
"KingBirthday;""1"";""2015-05-13 00:00:00"";""2"""
"KingBirthday;""1"";""2015-05-14 00:00:00"";""2"""
"KingBirthday;""1"";""2015-05-15 00:00:00"";""2"""
"off;""1"";""2015-05-16 00:00:00"";""1"""
"off;""1"";""2015-05-17 00:00:00"";""1"""
"off;""1"";""2015-05-24 00:00:00"";""1"""
"KingFatherCommemorationDay;""1"";""2015-10-15 00:00:00"";""2"""
